Crime ID,Offense Datetime,Reported Datetime,UCR Incident Code,Block,Street Name,Street_Address,City,State,ZIP Code,Full_Address,Latitude,Longitude,UCR Category,UCR Description,NIBRS Group,NIBRS Offense Group,Ward,Precinct,ObjectId,x,y
2604026571ME,4/19/2026 11:03:00 PM,4/19/2026 11:15:00 PM,290,7400,WINCHESTER RD,7400 WINCHESTER RD,MEMPHIS,TN,38125,7400 WINCHESTER RD MEMPHIS TN 38125,35.051,-89.814,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,925,RIDGEWAY,720216,-9998048.74610707,4170814.00200148
2604026450ME,4/19/2026 4:18:00 PM,4/19/2026 4:18:00 PM,23F,3600,ROCKWOOD AVE,3600 ROCKWOOD AVE,MEMPHIS,TN,38111,3600 ROCKWOOD AVE MEMPHIS TN 38111,35.164,-89.94,LARCENY/THEFT,THEFT FROM A MOTOR VEHICLE,A,CRIMES AGAINST PROPERTY,526,TILLMAN,720217,-10012075.001947,4186190.48348215
2604026569ME,4/19/2026 11:00:00 PM,4/19/2026 11:13:00 PM,13A,5300,MILL BRANCH RD,5300 MILL BRANCH RD,MEMPHIS,TN,38116,5300 MILL BRANCH RD MEMPHIS TN 38116,35.004,-90.008,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,221,RAINES,720221,-10019644.727321,4164424.74137375
2604026618ME,4/20/2026 2:00:00 AM,4/20/2026 2:30:00 AM,520,1000,UNION AVE,1000 UNION AVE,MEMPHIS,TN,38104,1000 UNION AVE MEMPHIS TN 38104,35.137,-90.027,WEAPON LAW VIOLATION,WEAPON LAW VIOL,A,CRIMES AGAINST SOCIETY,621,NORTH MAIN,720223,-10021759.797646,4182514.51757131
2604026617ME,4/20/2026 1:57:00 AM,4/20/2026 2:26:00 AM,280,1000,UNION AVE,1000 UNION AVE,MEMPHIS,TN,38109,1000 UNION AVE MEMPHIS TN 38109,35.137,-90.027,STOLEN PROPERTY,STOLEN PROPERTY,A,CRIMES AGAINST PROPERTY,624,NORTH MAIN,720225,-10021759.797646,4182514.51757131
2604026489ME,4/19/2026 6:45:00 PM,4/19/2026 7:21:00 PM,290,3300,POWELL AVE,3300 POWELL AVE,MEMPHIS,TN,38112,3300 POWELL AVE MEMPHIS TN 38112,35.154,-89.949,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,A,CRIMES AGAINST PROPERTY,524,TILLMAN,720227,-10013076.8773642,4184828.87239948
2604026493ME,4/19/2026 7:00:00 PM,4/19/2026 7:28:00 PM,23C,4200,MACON RD,4200 MACON RD,MEMPHIS,TN,38108,4200 MACON RD MEMPHIS TN 38108,35.162,-89.918,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,525,TILLMAN,720232,-10009625.9731496,4185918.14787406
2604026631ME,4/20/2026 2:30:00 AM,4/20/2026 3:04:00 AM,23C,5900,WINCHESTER RD,5900 WINCHESTER RD,MEMPHIS,TN,38115,5900 WINCHESTER RD MEMPHIS TN 38115,35.049,-89.865,LARCENY/THEFT,SHOPLIFTING,A,CRIMES AGAINST PROPERTY,924,RIDGEWAY,720233,-10003726.0401375,4170542.04370761
2604026669ME,4/20/2026 6:00:00 AM,4/20/2026 6:52:00 AM,13A,3700,MOUNTAIN TERRACE ST,3700 MOUNTAIN TERRACE ST,MEMPHIS,TN,38127,3700 MOUNTAIN TERRACE ST MEMPHIS TN 38127,35.227,-89.984,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,A,CRIMES AGAINST PERSONS,123,AUSTIN PEAY,720236,-10016973.0595419,4194772.48666006
2604026614ME,4/20/2026 1:33:00 AM,4/20/2026 2:13:00 AM,13B,200,RED OAK DR,200 RED OAK DR,MEMPHIS,TN,38112,200 RED OAK DR MEMPHIS TN 38112,35.138,-89.964,ASSAULT,SIMPLE ASSAULT,A,CRIMES AGAINST PERSONS,523,TILLMAN,720237,-10014746.6697261,4182650.64271029
